Month,Year,Laptopusage,iPadusage,No of materials previewed,No of reshelved items not on loan,No of hours library staffed,Noofreserveloans,NoOfHolds,Noofmaterialstransferred,No of materials returned,Noofpersonpassingturnstile,headphonevga,Noofgeneralloans,test,generalloans,TotalEquippmentLoans,Unique_Months
Jan,2011,32,4,23,670,265,90,61,600,1238,9624,96,701,701,701,132,Jul
Feb,2011,90,5,31,489,313,331,60,555,1567,27020,105,1245,1245,1245,200,Aug
Mar,2011,105,24,12,417,326,272,39,468,1359,24499,38,983,983,983,167,Sep
Apr,2011,42,18,15,808,384,238,31,536,1650,29591,111,1047,1047,1047,171,Oct
May,2011,21,3,3,1165,359,165,38,667,1737,23472,69,735,735,735,93,Nov
Jun,2011,16,12,20,486,318,65,43,491,1129,13952,43,646,646,646,71,Dec
Jul,2012,14,13,24,1214,287,50,42,425,913,13692,58,639,639,639,85,Jan
Aug,2012,15,20,15,781,334,62,71,610,1222,15623,46,652,652,652,81,Feb
Sep,2012,52,14,79,374,369,623,83,658,2077,31290,75,1784,1784,1784,141,Mar
Oct,2012,117,24,37,608,394,442,88,492,1734,34548,59,1363,1363,1363,200,Apr
Nov,2012,78,105,60,524,388,375,21,510,1797,29970,57,1303,1303,1303,240,May
Dec,2012,110,71,24,644,313,168,21,645,1807,23844,85,756,756,756,266,Jun
Jan,2012,17,58,23,750,291,114,494,587,1256,14209,29,762,762,762,104,
Feb,2012,107,88,14,600,450,511,57,483,1899,31685,127,1475,1475,1475,322,
Mar,2012,106,121,6,806,482,401,25,525,1722,32246,113,1351,1351,1351,340,
Apr,2012,149,101,9,1317,474,301,18,604,1816,32812,158,1225,1225,1225,408,
May,2012,156,103,5,1224,454,178,38,909,2276,28230,116,1030,1030,1030,375,
Jun,2012,32,61,5,348,308,55,35,507,1274,15120,41,717,717,717,134,
Jul,2013,5,59,12,547,306,35,32,452,1094,14116,49,544,544,544,113,
Aug,2013,4,53,31,330,336,125,358,368,1014,14626,23,573,573,573,80,
Sep,2013,122,105,74,552,441,631,46,522,1997,31037,104,1687,1687,1687,331,
Oct,2013,321,94,27,0,452,200,32,378,2020,39541,173,1837,1837,1837,588,
Nov,2013,322,112,6,531,431,354,217,388,1904,28609,206,1510,1510,1510,640,
Dec,2013,210,37,0,832,324,237,152,339,1542,26020,162,878,878,878,409,
Jan,2013,210,37,0,0,323,237,498,568,1261,17098,162,720,720,720,409,
Feb,2013,207,63,16,0,440,461,358,419,1679,27478,173,1476,1476,1476,443,
Mar,2013,279,89,3,9,1215,386,229,303,1464,28705,115,1271,1271,1271,483,
Apr,2013,301,80,6,279,476,330,206,358,1661,32679,190,1332,1332,1332,571,
May,2013,272,72,12,117,416,272,211,502,2033,25849,148,1126,1126,1126,492,
Jun,2013,26,28,4,2,305,31,152,231,732,11866,53,436,436,436,107,
Jul,2014,12,30,1,353,314,54,189,271,678,13274,49,434,434,434,91,
Aug,2014,16,29,0,126,333,124,344,371,840,14086,51,644,644,644,96,
Sep,2014,284,80,52,298,446,644,514,522,2180,31505,172,1798,1798,1798,536,
Oct,2014,373,125,17,210,494,574,312,385,2097,39918,231,1767,1767,1767,729,
Nov,2014,280,99,0,215,423,409,228,336,1628,31118,181,1292,1292,1292,560,
Dec,2014,187,51,0,131,333,205,221,395,1487,22205,172,886,886,886,410,
Jan,2014,24,40,0,112,272,126,530,579,1123,11083,46,596,596,596,110,
Feb,2014,148,79,0,78,396,440,324,395,1530,25542,129,1267,1267,1267,356,
Mar,2014,194,80,0,188,436,385,229,322,1495,25711,136,1124,1124,1124,410,
Apr,2014,218,76,0,125,486,393,245,390,1592,31531,162,1194,1194,1194,456,
May,2014,153,42,1,361,412,229,205,473,1527,24459,139,796,796,796,334,
Jun,2014,18,47,6,102,305,46,196,270,768,12944,31,407,407,407,96,
Jul,2015,19,18,1,51,319,16,198,241,589,13559,32,363,363,363,69,
Aug,2015,10,56,1,110,324,18,370,339,623,12348,13,421,421,421,79,
Sep,2015,308,100,0,91,426,737,506,482,2155,30877,160,1852,1852,1852,568,
Oct,2015,614,151,2,161,490,643,317,349,2312,37787,24,2017,2017,2017,789,
Nov,2015,620,119,0,145,433,400,200,267,1874,31960,190,1588,1588,1588,929,
Dec,2015,607,73,0,86,355,277,171,347,1989,27094,134,1354,1354,1354,814,
Jan,2015,99,95,0,63,249,174,494,516,1196,11822,48,804,804,804,242,
Feb,2015,434,135,0,76,384,562,305,459,1993,24641,90,1654,1654,1654,659,
Mar,2015,493,105,0,63,375,532,201,294,1794,26171,124,1540,1540,1540,722,
Apr,2015,626,111,0,4,476,394,204,396,2028,32409,206,1597,1597,1597,943,
May,2015,372,89,0,0,394,197,154,432,1714,24795,100,938,938,938,561,
Jun,2015,59,63,0,0,300,11,188,269,683,24521,26,453,453,453,148,
